"","treat","age","educ","black","hispan","married","nodegree","re74","re75","re78","distance","weights","id"
"NSW1",1,37,11,1,0,1,1,0,0,9930.046,0.638769933296502,1,1
"NSW2",1,22,9,0,1,0,1,0,0,3595.894,0.224634241570063,1,2
"NSW3",1,30,12,1,0,0,0,0,0,24909.45,0.678243879538045,1,3
"NSW4",1,27,11,1,0,0,1,0,0,7506.146,0.77632408115751,1,4
"NSW5",1,33,8,1,0,0,1,0,0,289.7899,0.701638744785861,1,5
"NSW6",1,22,9,1,0,0,1,0,0,4056.494,0.699069903298202,1,6
"NSW7",1,23,12,1,0,0,0,0,0,0,0.653684262778881,1,7
"NSW8",1,32,11,1,0,0,1,0,0,8472.158,0.78972311010142,1,8
"NSW9",1,22,16,1,0,0,0,0,0,2164.022,0.779838245902944,1,9
"NSW10",1,33,12,0,0,1,0,0,0,12418.07,0.0429246147628288,1,10
"NSW11",1,19,9,1,0,0,1,0,0,8173.908,0.68901996386294,1,11
"NSW12",1,21,13,1,0,0,0,0,0,17094.64,0.682444001158633,1,12
"NSW13",1,18,8,1,0,0,1,0,0,0,0.649867668016851,1,13
"NSW14",1,27,10,1,0,1,1,0,0,18739.93,0.562410733222738,1,14
"NSW15",1,17,7,1,0,0,1,0,0,3023.879,0.608586291059863,1,15
"NSW16",1,19,10,1,0,0,1,0,0,3228.503,0.722490359816334,1,16
"NSW17",1,27,13,1,0,0,0,0,0,14581.86,0.702595615543431,1,17
"NSW18",1,23,10,1,0,0,1,0,0,7693.4,0.734964162931159,1,18
"NSW19",1,40,12,1,0,0,0,0,0,10804.32,0.711664891710106,1,19
"NSW20",1,26,12,1,0,0,0,0,0,10747.35,0.664319808009673,1,20
"NSW21",1,23,11,1,0,0,1,0,0,0,0.765174920238826,1,21
"NSW22",1,41,14,0,0,0,0,0,0,5149.501,0.139015252092508,1,22
"NSW23",1,38,9,0,0,0,1,0,0,6408.95,0.122382243419719,1,23
"NSW24",1,24,11,1,0,0,1,0,0,1991.4,0.767997910979245,1,24
"NSW25",1,18,10,1,0,0,1,0,0,11163.17,0.719316011109816,1,25
"NSW26",1,29,11,1,0,1,1,0,0,9642.999,0.609167149816837,1,26
"NSW27",1,25,11,1,0,0,1,0,0,9897.049,0.770797130260283,1,27
"NSW28",1,27,10,0,1,0,1,0,0,11142.87,0.269203163602123,1,28
"NSW29",1,17,10,1,0,0,1,0,0,16218.04,0.716119619050936,1,29
"NSW30",1,24,11,1,0,0,1,0,0,995.7002,0.767997910979245,1,30
"NSW31",1,17,10,1,0,0,1,0,0,0,0.716119619050936,1,31
"NSW32",1,48,4,1,0,0,1,0,0,6551.592,0.609816797584645,1,32
"NSW33",1,25,11,1,0,1,1,0,0,1574.424,0.594042993258845,1,33
"NSW34",1,20,12,1,0,0,0,0,0,0,0.642892885866401,1,34
"NSW35",1,25,12,1,0,0,0,0,0,3191.753,0.660792465529843,1,35
"NSW36",1,42,14,1,0,0,0,0,0,20505.93,0.778621590068795,1,36
"NSW37",1,25,5,1,0,0,1,0,0,6181.88,0.56093964929397,1,37
"NSW38",1,23,12,1,0,1,0,0,0,5911.551,0.450948349560701,1,38
"NSW39",1,46,8,1,0,1,1,0,0,3094.156,0.556779597335916,1,39
"NSW40",1,24,10,1,0,0,1,0,0,0,0.738025993792048,1,40
"NSW41",1,21,12,1,0,0,0,0,0,1254.582,0.646506789172917,1,41
"NSW42",1,19,9,0,0,0,1,0,0,13188.83,0.0936529636051864,1,42
"NSW43",1,17,8,1,0,0,1,0,0,8061.485,0.64626932475575,1,43
"NSW44",1,18,8,0,1,1,1,0,0,2787.96,0.0915054953385376,1,44
"NSW45",1,20,11,1,0,0,1,0,0,3972.54,0.756563870638105,1,45
"NSW46",1,25,11,1,0,1,1,0,0,0,0.594042993258845,1,46
"NSW47",1,17,8,1,0,0,1,0,0,0,0.64626932475575,1,47
"NSW48",1,17,9,1,0,0,1,0,0,0,0.682218811763613,1,48
"NSW49",1,25,5,1,0,0,1,0,0,12187.41,0.56093964929397,1,49
"NSW50",1,23,12,1,0,0,0,0,0,4843.176,0.653684262778881,1,50
"NSW51",1,28,8,1,0,0,1,0,0,0,0.684866655341575,1,51
"NSW52",1,31,11,1,0,1,1,0,0,8087.487,0.61665323162751,1,52
"NSW53",1,18,11,1,0,0,1,0,0,0,0.750705445463591,1,53
"NSW54",1,25,12,1,0,0,0,0,0,2348.973,0.660792465529843,1,54
"NSW55",1,30,11,1,0,1,1,0,0,590.7818,0.612916858801113,1,55
"NSW56",1,17,10,1,0,0,1,0,0,0,0.716119619050936,1,56
"NSW57",1,37,9,1,0,0,1,0,0,1067.506,0.746404803859769,1,57
"NSW58",1,41,4,1,0,1,1,0,0,7284.986,0.378478657459482,1,58
"NSW59",1,42,14,1,0,1,0,0,0,13167.52,0.604807776251562,1,59
"NSW60",1,22,11,0,0,0,1,0,0,1048.432,0.130121916901349,1,60
"NSW61",1,17,8,1,0,0,1,0,0,0,0.64626932475575,1,61
"NSW62",1,29,8,1,0,0,1,0,0,1923.938,0.688261758188838,1,62
"NSW63",1,35,10,1,0,0,1,0,0,4666.236,0.770171801295463,1,63
"NSW64",1,27,11,1,0,0,1,0,0,549.2984,0.77632408115751,1,64
"NSW65",1,29,4,1,0,0,1,0,0,762.9146,0.53662872684771,1,65
"NSW66",1,28,9,1,0,0,1,0,0,10694.29,0.718601503855546,1,66
"NSW67",1,27,11,1,0,0,1,0,0,0,0.77632408115751,1,67
"NSW68",1,23,7,0,0,0,1,0,0,0,0.0738273318095536,1,68
"NSW69",1,45,5,1,0,1,1,0,0,8546.715,0.432515467276166,1,69
"NSW70",1,29,13,1,0,0,0,0,0,7479.656,0.709146589649358,1,70
"NSW71",1,27,9,1,0,0,1,0,0,0,0.715400194401061,1,71
"NSW72",1,46,13,1,0,0,0,0,0,647.2046,0.761233320910716,1,72
"NSW73",1,18,6,1,0,0,1,0,0,0,0.573426192565677,1,73
"NSW74",1,25,12,1,0,0,0,0,0,11965.81,0.660792465529843,1,74
"NSW75",1,28,15,1,0,0,0,0,0,9598.541,0.768182969590682,1,75
"NSW76",1,25,11,0,0,0,1,0,0,18783.35,0.135573773222151,1,76
"NSW77",1,22,12,1,0,0,0,0,0,18678.08,0.650104024652756,1,77
"NSW78",1,21,9,1,0,0,1,0,0,0,0.695740474550948,1,78
"NSW79",1,40,11,1,0,0,1,0,0,23005.6,0.809917433897946,1,79
"NSW80",1,22,11,1,0,0,1,0,0,6456.697,0.762328209754733,1,80
"NSW81",1,25,12,1,0,0,0,0,0,0,0.660792465529843,1,81
"NSW82",1,18,12,1,0,0,0,0,0,2321.107,0.635616429928223,1,82
"NSW83",1,38,12,0,0,0,0,0,0,4941.849,0.100341299259334,1,83
"NSW84",1,27,13,1,0,0,0,0,0,0,0.702595615543431,1,84
"NSW85",1,27,8,1,0,0,1,0,0,0,0.681451690292197,1,85
"NSW86",1,38,11,1,0,0,1,0,0,0,0.80501207297578,1,86
"NSW87",1,23,8,0,1,0,1,0,0,3881.284,0.200304682216785,1,87
"NSW88",1,26,11,1,0,0,1,0,0,17230.96,0.773572533100364,1,88
"NSW89",1,21,12,0,0,0,0,0,0,8048.603,0.0785908929653946,1,89
"NSW90",1,25,8,1,0,0,1,0,0,0,0.674563197073129,1,90
"NSW91",1,31,11,1,0,1,1,0,0,14509.93,0.61665323162751,1,91
"NSW92",1,17,10,1,0,0,1,0,0,0,0.716119619050936,1,92
"NSW93",1,25,11,1,0,0,1,0,0,0,0.770797130260283,1,93
"NSW94",1,21,12,1,0,0,0,0,0,9983.784,0.646506789172917,1,94
"NSW95",1,44,11,1,0,0,1,0,0,0,0.819443552318677,1,95
"NSW96",1,25,12,0,0,0,0,0,0,5587.503,0.0832840946373629,1,96
"NSW97",1,18,9,1,0,0,1,0,0,4482.845,0.685629346830866,1,97
"NSW98",1,42,12,1,0,0,0,0,0,2456.153,0.718096249665557,1,98
"NSW99",1,25,10,1,0,0,1,0,0,0,0.741064914651877,1,99
"NSW100",1,31,9,0,1,0,1,0,0,26817.6,0.250327245696734,1,100
"NSW101",1,24,10,1,0,0,1,0,0,0,0.738025993792048,1,101
"NSW102",1,26,10,1,0,0,1,0,0,9265.788,0.744080807726006,1,102
"NSW103",1,25,11,1,0,0,1,0,0,485.2298,0.770797130260283,1,103
"NSW104",1,18,11,1,0,0,1,0,0,4814.627,0.750705445463591,1,104
"NSW105",1,19,11,1,0,0,1,0,0,7458.105,0.753646379921675,1,105
"NSW106",1,43,9,1,0,0,1,0,0,0,0.763901764839278,1,106
"NSW107",1,27,13,1,0,0,0,0,0,34099.28,0.702595615543431,1,107
"NSW108",1,17,9,1,0,0,1,0,0,1953.268,0.682218811763613,1,108
"NSW109",1,30,11,1,0,0,1,0,0,0,0.784435310753972,1,109
"NSW110",1,26,10,1,0,1,1,2027.999,0,0,0.52238791628958,1,110
"NSW111",1,20,9,1,0,0,1,6083.994,0,8881.665,0.592577195425554,1,111
"NSW112",1,17,9,0,1,0,1,445.1704,74.34345,6210.67,0.206569964893504,1,112
"NSW113",1,20,12,1,0,0,0,989.2678,165.2077,0,0.628495000009805,1,113
"NSW114",1,18,11,1,0,0,1,858.2543,214.5636,929.8839,0.741205427037325,1,114
"NSW115",1,27,12,1,0,1,0,3670.872,334.0493,0,0.406281096950227,1,115
"NSW116",1,21,12,0,0,0,0,3670.872,334.0494,12558.02,0.0625452859798461,1,116
"NSW117",1,27,12,1,0,0,0,2143.413,357.9499,22163.25,0.637300337211645,1,117
"NSW118",1,20,12,1,0,0,0,0,377.5686,1652.637,0.647512297137757,1,118
"NSW119",1,19,10,1,0,0,1,0,385.2741,8124.715,0.726599948575312,1,119
"NSW120",1,23,12,1,0,0,0,5506.308,501.0741,671.3318,0.566314424567712,1,120
"NSW121",1,29,14,1,0,0,0,0,679.6734,17814.98,0.74816998147295,1,121
"NSW122",1,18,10,1,0,0,1,0,798.9079,9737.154,0.727855650167521,1,122
"NSW123",1,19,9,1,0,0,1,0,798.9079,17685.18,0.698094476904366,1,123
"NSW124",1,27,13,0,0,1,0,9381.566,853.7225,0,0.0249517850136956,1,124
"NSW125",1,18,11,0,0,0,1,3678.231,919.5579,4321.705,0.101756942284158,1,125
"NSW126",1,27,9,1,0,1,1,0,934.4454,1773.423,0.53484034986815,1,126
"NSW127",1,22,12,1,0,0,0,5605.852,936.1773,0,0.566396137252327,1,127
"NSW128",1,23,10,1,0,1,1,0,936.4386,11233.26,0.559194281316096,1,128
"NSW129",1,23,12,0,1,0,0,9385.74,1117.439,559.4432,0.113004253910665,1,129
"NSW130",1,20,11,1,0,0,1,3637.498,1220.836,1085.44,0.718714523551451,1,130
"NSW131",1,17,9,1,0,0,1,1716.509,1253.439,5445.2,0.669909090935017,1,131
"NSW132",1,28,11,1,0,0,1,0,1284.079,60307.93,0.790638492788602,1,132
"NSW133",1,26,11,1,0,1,1,0,1392.853,1460.36,0.615602561826831,1,133
"NSW134",1,20,11,1,0,0,1,16318.62,1484.994,6943.342,0.510499343086375,1,134
"NSW135",1,24,11,1,0,1,1,824.3886,1666.113,4032.708,0.597438460076867,1,135
"NSW136",1,31,9,1,0,0,1,0,1698.607,10363.27,0.745670072286372,1,136
"NSW137",1,23,8,0,0,1,1,0,1713.15,4232.309,0.0427548744987325,1,137
"NSW138",1,18,10,1,0,0,1,2143.411,1784.274,11141.39,0.707358127815949,1,138
"NSW139",1,29,12,1,0,0,0,10881.94,1817.284,0,0.511496416619183,1,139
"NSW140",1,26,11,0,0,0,1,0,2226.266,13385.86,0.152156438933744,1,140
"NSW141",1,24,9,1,0,0,1,9154.7,2288.675,4849.559,0.584106571167044,1,141
"NSW142",1,25,12,1,0,0,0,14426.79,2409.274,0,0.440307954857056,1,142
"NSW143",1,24,10,1,0,0,1,4250.402,2421.947,1660.508,0.702681223409695,1,143
"NSW144",1,46,8,1,0,0,1,3165.658,2594.723,0,0.725453006282668,1,144
"NSW145",1,31,12,0,0,0,0,0,2611.218,2484.549,0.103000886708633,1,145
"NSW146",1,19,11,1,0,0,1,2305.026,2615.276,4146.603,0.748849442869847,1,146
"NSW147",1,19,8,1,0,0,1,0,2657.057,9970.681,0.684870241387422,1,147
"NSW148",1,27,11,1,0,0,1,2206.94,2666.274,0,0.773550305240493,1,148
"NSW149",1,26,11,1,0,1,1,0,2754.646,26372.28,0.632674465492913,1,149
"NSW150",1,20,10,1,0,0,1,5005.731,2777.355,5615.189,0.681737994299416,1,150
"NSW151",1,28,10,1,0,0,1,0,2836.506,3196.571,0.777376573488727,1,151
"NSW152",1,24,12,1,0,0,0,13765.75,2842.764,6167.681,0.453863204597022,1,152
"NSW153",1,19,8,1,0,0,1,2636.353,2937.264,7535.942,0.646111979165789,1,153
"NSW154",1,23,12,1,0,0,0,6269.341,3039.96,8484.239,0.586073334131669,1,154
"NSW155",1,42,9,1,0,1,1,0,3058.531,1294.409,0.62005189594476,1,155
"NSW156",1,25,13,1,0,0,0,12362.93,3090.732,0,0.526463518487308,1,156
"NSW157",1,18,9,1,0,0,1,0,3287.375,5010.342,0.722212496948064,1,157
"NSW158",1,21,12,1,0,0,0,6473.683,3332.409,9371.037,0.578633266214284,1,158
"NSW159",1,27,10,1,0,0,1,1001.146,3550.075,0,0.768692837640222,1,159
"NSW160",1,21,8,1,0,0,1,989.2678,3695.897,4279.613,0.688328187553411,1,160
"NSW161",1,22,9,1,0,0,1,2192.877,3836.986,3462.564,0.709003364032527,1,161
"NSW162",1,31,4,1,0,0,1,8517.589,4023.211,7382.549,0.445713339324955,1,162
"NSW163",1,24,10,1,0,1,1,11703.2,4078.152,0,0.396891615781403,1,163
"NSW164",1,29,10,1,0,0,1,0,4398.95,0,0.794085051369952,1,164
"NSW165",1,29,12,1,0,0,0,9748.387,4878.937,10976.51,0.572238709989349,1,165
"NSW166",1,19,10,0,0,0,1,0,5324.109,13829.62,0.138958829960333,1,166
"NSW167",1,19,11,0,1,1,1,5424.485,5463.803,6788.463,0.130900194725972,1,167
"NSW168",1,31,9,1,0,0,1,10717.03,5517.841,9558.501,0.624933635682182,1,168
"NSW169",1,22,10,1,0,1,1,1468.348,5588.664,13228.28,0.590339112449339,1,169
"NSW170",1,21,9,1,0,0,1,6416.47,5749.331,743.6666,0.662358894123658,1,170
"NSW171",1,17,10,1,0,0,1,1291.468,5793.852,5522.788,0.758093927225194,1,171
"NSW172",1,26,12,1,0,1,0,8408.762,5794.831,1424.944,0.390943393121446,1,172
"NSW173",1,20,9,0,1,0,1,12260.78,5875.049,1358.643,0.137471308884896,1,173
"NSW174",1,19,10,1,0,0,1,4121.949,6056.754,0,0.728039910940415,1,174
"NSW175",1,26,10,1,0,0,1,25929.68,6788.958,672.8773,0.393884484117097,1,175
"NSW176",1,28,11,1,0,0,1,1929.029,6871.856,0,0.815923008506809,1,176
"NSW177",1,22,12,0,1,1,0,492.2305,7055.702,10092.83,0.124272375923608,1,177
"NSW178",1,33,11,1,0,0,1,0,7867.916,6281.433,0.853152844232331,1,178
"NSW179",1,22,12,0,0,0,0,6759.994,8455.504,12590.71,0.0773317909489632,1,179
"NSW180",1,29,10,0,1,0,1,0,8853.674,5112.014,0.378971118498471,1,180
"NSW181",1,33,12,1,0,1,0,20279.95,10941.35,15952.6,0.287016142504197,1,181
"NSW182",1,25,14,1,0,1,0,35040.07,11536.57,36646.95,0.149167780784951,1,182
"NSW183",1,35,9,1,0,1,1,13602.43,13830.64,12803.97,0.494680852977491,1,183
"NSW184",1,35,8,1,0,1,1,13732.07,17976.15,3786.628,0.507417800879284,1,184
"NSW185",1,33,11,1,0,1,1,14660.71,25142.24,4181.942,0.689629384756235,1,185
"PSID5",0,25,9,1,0,1,1,14829.69,13776.53,0,0.432900038650999,1,186
"PSID6",0,37,9,1,0,1,1,13685.48,12756.05,17833.2,0.486723791518383,1,187
"PSID8",0,20,12,1,0,0,0,7392.314,12396.19,17765.23,0.672580339522423,1,188
"PSID15",0,22,14,1,0,1,0,748.4399,11105.37,18208.55,0.656969673706647,1,189
"PSID17",0,25,9,0,1,0,1,5460.477,10589.76,7539.361,0.265518543654547,1,190
